username,submitted_at,processed_at,type,score,dcr_share,nndr_ratio,qa_report,is_qualified
yspeng98,2025-06-23 15:27:40.558+00,2025-06-23 15:27:55.585654+00,flat,0.0,,,{},f
TheodorNEngoy,2025-06-23 11:36:01.172+00,2025-06-23 11:36:20.519654+00,flat,0.0,,,{},f
yasteneG,2025-06-23 07:26:15.532+00,2025-06-23 07:34:44.696533+00,flat,0.969508,0.506,1.83958,"{""accuracy"": {""overall"": 0.9695084, ""bivariate"": 0.9702696, ""coherence"": null, ""trivariate"": 0.9554097, ""univariate"": 0.9828459, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.102, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.101, ""ims_training"": 0.0, ""nndr_holdout"": 0.055169867774, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.101489228466}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.499, ""cosine_similarity_training_synthetic"": 0.9991834, ""discriminator_auc_training_synthetic"": 0.588}}",t
yasteneG,2025-06-23 07:12:38.394+00,2025-06-23 07:12:43.293895+00,flat,0.0,,,{},f
muellermarkus,2025-06-22 22:06:11.485+00,2025-06-22 22:41:33.444582+00,flat,0.979337,0.527,0.989413,"{""accuracy"": {""overall"": 0.9793368, ""bivariate"": 0.9806189, ""coherence"": null, ""trivariate"": 0.9677984, ""univariate"": 0.989593, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.527, ""dcr_holdout"": 0.584, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.58, ""ims_training"": 0.0, ""nndr_holdout"": 0.587200793968, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.580983902713}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.502, ""cosine_similarity_training_synthetic"": 0.9998263, ""discriminator_auc_training_synthetic"": 0.742}}",f
cvoscode,2025-06-22 22:05:09.783+00,2025-06-22 22:33:16.576519+00,sequential,0.959583,0.511,0.81435,"{""accuracy"": {""overall"": 0.9595825, ""bivariate"": 0.9627565, ""coherence"": 0.971305, ""trivariate"": 0.9221302, ""univariate"": 0.9821382, ""overall_max"": 0.9721524, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.988317, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.098, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.097, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000112324, ""nndr_trn_hol"": 0.000000087524, ""nndr_training"": 0.000000091471}, ""similarity"": {""cosine_similarity_training_holdout"": 0.999982, ""discriminator_auc_training_holdout"": 0.502, ""cosine_similarity_training_synthetic"": 0.9997545, ""discriminator_auc_training_synthetic"": 0.531}}",t
filomba01,2025-06-22 22:00:23.081+00,2025-06-22 22:31:21.181667+00,flat,0.980901,0.506,0.906553,"{""accuracy"": {""overall"": 0.9809013, ""bivariate"": 0.9822924, ""coherence"": null, ""trivariate"": 0.9696385, ""univariate"": 0.990773, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.208, ""dcr_trn_hol"": 0.206, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.208, ""ims_training"": 0.0, ""nndr_holdout"": 0.315418963676, ""nndr_trn_hol"": 0.230449419039, ""nndr_training"": 0.285943891752}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.507, ""cosine_similarity_training_synthetic"": 0.9998138, ""discriminator_auc_training_synthetic"": 0.549}}",t
filomba01,2025-06-22 21:59:04+00,2025-06-22 22:23:01.786789+00,flat,0.940433,0.507,1.01089,"{""accuracy"": {""overall"": 0.9404328, ""bivariate"": 0.9408972, ""coherence"": null, ""trivariate"": 0.910516, ""univariate"": 0.9698852, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.507, ""dcr_holdout"": 0.224, ""dcr_trn_hol"": 0.221, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.224, ""ims_training"": 0.0, ""nndr_holdout"": 0.393056409416, ""nndr_trn_hol"": 0.289374191231, ""nndr_training"": 0.397338177052}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.498, ""cosine_similarity_training_synthetic"": 0.9979899, ""discriminator_auc_training_synthetic"": 0.998}}",t
Benels,2025-06-22 21:56:49.175+00,2025-06-22 22:06:09.391319+00,flat,0.981273,0.508,0.973546,"{""accuracy"": {""overall"": 0.981273, ""bivariate"": 0.9827394, ""coherence"": null, ""trivariate"": 0.9699552, ""univariate"": 0.9911245, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.508, ""dcr_holdout"": 0.585, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.584, ""ims_training"": 0.0, ""nndr_holdout"": 0.593711983399, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.578005642822}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.502, ""cosine_similarity_training_synthetic"": 0.9998281, ""discriminator_auc_training_synthetic"": 0.551}}",t
filomba01,2025-06-22 21:54:00.333+00,2025-06-22 22:14:25.74641+00,flat,0.981125,0.506,1.12719,"{""accuracy"": {""overall"": 0.9811248, ""bivariate"": 0.9826019, ""coherence"": null, ""trivariate"": 0.9700432, ""univariate"": 0.9907294, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.094, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.094, ""ims_training"": 0.0, ""nndr_holdout"": 0.090986659589, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.102558885234}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.99984, ""discriminator_auc_training_synthetic"": 0.54}}",t
cvoscode,2025-06-22 21:46:50.335+00,2025-06-22 21:57:34.76965+00,flat,0.977602,0.504,0.986486,"{""accuracy"": {""overall"": 0.977602, ""bivariate"": 0.979002, ""coherence"": null, ""trivariate"": 0.9645153, ""univariate"": 0.9892889, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.228, ""dcr_trn_hol"": 0.225, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.228, ""ims_training"": 0.0, ""nndr_holdout"": 0.42559620673, ""nndr_trn_hol"": 0.390022942391, ""nndr_training"": 0.419844839819}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.501, ""cosine_similarity_training_synthetic"": 0.9998186, ""discriminator_auc_training_synthetic"": 0.586}}",t
muellermarkus,2025-06-22 21:40:35.314+00,2025-06-22 21:48:55.34381+00,flat,0.978572,0.529,0.960708,"{""accuracy"": {""overall"": 0.9785725, ""bivariate"": 0.9798379, ""coherence"": null, ""trivariate"": 0.9668391, ""univariate"": 0.9890405, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.529, ""dcr_holdout"": 0.584, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.58, ""ims_training"": 0.0, ""nndr_holdout"": 0.58254549631, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.559656226619}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.515, ""cosine_similarity_training_synthetic"": 0.9997913, ""discriminator_auc_training_synthetic"": 0.64}}",f
antoinebon,2025-06-22 21:02:21.478+00,2025-06-22 21:04:51.62905+00,sequential,0.962467,0.504,1.09082,"{""accuracy"": {""overall"": 0.9624668, ""bivariate"": 0.966518, ""coherence"": 0.973457, ""trivariate"": 0.9235138, ""univariate"": 0.9863782, ""overall_max"": 0.9721559, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.988331, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.101, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.001, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.101, ""ims_training"": 0.002, ""nndr_holdout"": 0.000000105058, ""nndr_trn_hol"": 0.000000089577, ""nndr_training"": 0.000000114599}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999833, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.9998592, ""discriminator_auc_training_synthetic"": 0.524}}",t
Ashish-Soni08,2025-06-22 19:30:54.379+00,2025-06-22 19:33:13.183135+00,sequential,0.904796,0.504,1.06916,"{""accuracy"": {""overall"": 0.9047956, ""bivariate"": 0.8989838, ""coherence"": 0.931808, ""trivariate"": 0.8516379, ""univariate"": 0.9367527, ""overall_max"": 0.9721528, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883187, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.11, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.001, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.11, ""ims_training"": 0.001, ""nndr_holdout"": 0.000000116168, ""nndr_trn_hol"": 0.000000088462, ""nndr_training"": 0.000000124202}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999832, ""discriminator_auc_training_holdout"": 0.506, ""cosine_similarity_training_synthetic"": 0.993735, ""discriminator_auc_training_synthetic"": 0.692}}",t
Ashish-Soni08,2025-06-22 19:19:45.448+00,2025-06-22 19:28:12.687468+00,flat,0.886353,0.502,0.957959,"{""accuracy"": {""overall"": 0.8863529, ""bivariate"": 0.8860428, ""coherence"": null, ""trivariate"": 0.8402649, ""univariate"": 0.9327511, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.502, ""dcr_holdout"": 0.251, ""dcr_trn_hol"": 0.204, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.251, ""ims_training"": 0.0, ""nndr_holdout"": 0.469788454009, ""nndr_trn_hol"": 0.303666265257, ""nndr_training"": 0.450038207957}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.497, ""cosine_similarity_training_synthetic"": 0.9770216, ""discriminator_auc_training_synthetic"": 0.99}}",t
Gaurav-Mahajan90,2025-06-22 18:46:50.268+00,2025-06-22 18:55:12.742344+00,flat,0.953132,0.503,0.93043,"{""accuracy"": {""overall"": 0.9531323, ""bivariate"": 0.9539396, ""coherence"": null, ""trivariate"": 0.9299596, ""univariate"": 0.9754977, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.503, ""dcr_holdout"": 0.133, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.133, ""ims_training"": 0.0, ""nndr_holdout"": 0.235350235209, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.218976880807}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9980894, ""discriminator_auc_training_synthetic"": 0.805}}",t
Gandagorn,2025-06-22 17:20:51.947+00,2025-06-22 17:29:21.242477+00,flat,0.99138,0.509,0.958779,"{""accuracy"": {""overall"": 0.9913797, ""bivariate"": 0.9935337, ""coherence"": null, ""trivariate"": 0.9828168, ""univariate"": 0.9977885, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.509, ""dcr_holdout"": 0.095, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.095, ""ims_training"": 0.0, ""nndr_holdout"": 0.101440333661, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.097258853034}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.499, ""cosine_similarity_training_synthetic"": 0.9999936, ""discriminator_auc_training_synthetic"": 0.511}}",t
Benels,2025-06-22 14:59:35.281+00,2025-06-22 15:07:55.417395+00,flat,0.982045,0.506,1.27853,"{""accuracy"": {""overall"": 0.9820445, ""bivariate"": 0.9835477, ""coherence"": null, ""trivariate"": 0.9710303, ""univariate"": 0.9915554, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.096, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.100144191388, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.128036863744}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.5, ""cosine_similarity_training_synthetic"": 0.9998292, ""discriminator_auc_training_synthetic"": 0.54}}",t
filomba01,2025-06-22 13:21:27.748+00,2025-06-22 13:23:39.52523+00,sequential,0.966273,0.51,0.904384,"{""accuracy"": {""overall"": 0.9662729, ""bivariate"": 0.9691442, ""coherence"": 0.980798, ""trivariate"": 0.9272066, ""univariate"": 0.9879427, ""overall_max"": 0.9721535, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883213, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.51, ""dcr_holdout"": 0.1, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.002, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.099, ""ims_training"": 0.002, ""nndr_holdout"": 0.000000109595, ""nndr_trn_hol"": 0.000000087498, ""nndr_training"": 0.000000099116}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999833, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.9999322, ""discriminator_auc_training_synthetic"": 0.523}}",t
Gaurav-Mahajan90,2025-06-22 10:00:27.615+00,2025-06-22 10:00:40.249237+00,flat,0.0,,,{},f
Gandagorn,2025-06-22 06:47:30.283+00,2025-06-22 06:55:57.034724+00,flat,0.991212,0.508,1.08961,"{""accuracy"": {""overall"": 0.9912121, ""bivariate"": 0.9933462, ""coherence"": null, ""trivariate"": 0.9825216, ""univariate"": 0.9977685, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.508, ""dcr_holdout"": 0.095, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.095, ""ims_training"": 0.0, ""nndr_holdout"": 0.098479584526, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.107303896932}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9999948, ""discriminator_auc_training_synthetic"": 0.508}}",t
Gaurav-Mahajan90,2025-06-21 21:27:50.54+00,2025-06-21 21:36:25.956774+00,flat,0.941852,0.511,0.97967,"{""accuracy"": {""overall"": 0.9418517, ""bivariate"": 0.948088, ""coherence"": null, ""trivariate"": 0.8805084, ""univariate"": 0.9969587, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.36, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.359, ""ims_training"": 0.0, ""nndr_holdout"": 0.744843738858, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.729701270891}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.502, ""cosine_similarity_training_synthetic"": 0.9999787, ""discriminator_auc_training_synthetic"": 1.0}}",t
RishiBhuva7,2025-06-21 18:07:26.444+00,2025-06-21 18:15:45.658642+00,flat,0.944978,0.504,1.02588,"{""accuracy"": {""overall"": 0.9449779, ""bivariate"": 0.9455786, ""coherence"": null, ""trivariate"": 0.9192638, ""univariate"": 0.9700914, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.609, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.609, ""ims_training"": 0.0, ""nndr_holdout"": 0.630838397745, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.647167423108}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.505, ""cosine_similarity_training_synthetic"": 0.9966872, ""discriminator_auc_training_synthetic"": 0.823}}",t
francescapia,2025-06-21 17:04:40.294+00,2025-06-21 17:06:34.86716+00,sequential,0.966971,0.51,0.871542,"{""accuracy"": {""overall"": 0.9669705, ""bivariate"": 0.9699538, ""coherence"": 0.9811007, ""trivariate"": 0.9286894, ""univariate"": 0.9881382, ""overall_max"": 0.9721534, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.988321, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.51, ""dcr_holdout"": 0.1, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.002, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.099, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000108627, ""nndr_trn_hol"": 0.000000088536, ""nndr_training"": 0.000000094673}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999833, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9999185, ""discriminator_auc_training_synthetic"": 0.523}}",t
Gandagorn,2025-06-20 22:14:40.593+00,2025-06-20 22:23:01.622283+00,flat,0.990987,0.506,0.983568,"{""accuracy"": {""overall"": 0.990987, ""bivariate"": 0.9930848, ""coherence"": null, ""trivariate"": 0.9820548, ""univariate"": 0.9978214, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.203, ""dcr_trn_hol"": 0.201, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.203, ""ims_training"": 0.0, ""nndr_holdout"": 0.32975830884, ""nndr_trn_hol"": 0.293365805779, ""nndr_training"": 0.32433959127}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.9999922, ""discriminator_auc_training_synthetic"": 0.499}}",t
gdiaz95,2025-06-20 17:43:40.603+00,2025-06-20 17:55:50.464321+00,flat,0.952623,0.503,1.0123,"{""accuracy"": {""overall"": 0.9526227, ""bivariate"": 0.9577217, ""coherence"": null, ""trivariate"": 0.9031072, ""univariate"": 0.997039, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.503, ""dcr_holdout"": 0.258, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.258, ""ims_training"": 0.0, ""nndr_holdout"": 0.501760292808, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.507930342405}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.501, ""cosine_similarity_training_synthetic"": 0.999978, ""discriminator_auc_training_synthetic"": 0.997}}",t
Tecnarca,2025-06-20 17:38:44.864+00,2025-06-20 17:47:02.883996+00,flat,0.984554,0.506,0.776698,"{""accuracy"": {""overall"": 0.9845535, ""bivariate"": 0.9861297, ""coherence"": null, ""trivariate"": 0.9739172, ""univariate"": 0.9936136, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.097, ""ims_training"": 0.0, ""nndr_holdout"": 0.112701160459, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.087534764226}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.501, ""cosine_similarity_training_synthetic"": 0.99993, ""discriminator_auc_training_synthetic"": 0.526}}",t
Gandagorn,2025-06-20 16:24:17.386+00,2025-06-20 16:26:49.440277+00,sequential,0.963376,0.507,0.854269,"{""accuracy"": {""overall"": 0.9633756, ""bivariate"": 0.9696378, ""coherence"": 0.96813, ""trivariate"": 0.9268199, ""univariate"": 0.9889145, ""overall_max"": 0.9721577, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883383, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.507, ""dcr_holdout"": 0.06, ""dcr_trn_hol"": 0.056, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.059, ""ims_training"": 0.002, ""nndr_holdout"": 0.000000176654, ""nndr_trn_hol"": 0.0000001468, ""nndr_training"": 0.00000015091}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.498, ""cosine_similarity_training_synthetic"": 0.9998545, ""discriminator_auc_training_synthetic"": 0.512}}",t
filomba01,2025-06-20 11:18:58.793+00,2025-06-20 11:20:47.507097+00,sequential,0.965591,0.511,0.886409,"{""accuracy"": {""overall"": 0.9655907, ""bivariate"": 0.9687056, ""coherence"": 0.9796603, ""trivariate"": 0.9270415, ""univariate"": 0.9869555, ""overall_max"": 0.9721528, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883187, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.059, ""dcr_trn_hol"": 0.056, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.058, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000171316, ""nndr_trn_hol"": 0.00000014424, ""nndr_training"": 0.000000151856}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999835, ""discriminator_auc_training_holdout"": 0.506, ""cosine_similarity_training_synthetic"": 0.9998074, ""discriminator_auc_training_synthetic"": 0.526}}",t
EugenioTL,2025-06-20 09:28:18.573+00,2025-06-20 09:36:39.857198+00,flat,0.982561,0.506,1.20978,"{""accuracy"": {""overall"": 0.982561, ""bivariate"": 0.9840879, ""coherence"": null, ""trivariate"": 0.9714092, ""univariate"": 0.992186, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.096, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.091948075096, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.111236578939}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.496, ""cosine_similarity_training_synthetic"": 0.9998973, ""discriminator_auc_training_synthetic"": 0.535}}",t
bugracan-ai,2025-06-20 08:02:35.784+00,2025-06-20 08:11:07.76392+00,flat,0.980599,0.505,1.02399,"{""accuracy"": {""overall"": 0.9805985, ""bivariate"": 0.9819941, ""coherence"": null, ""trivariate"": 0.9691999, ""univariate"": 0.9906014, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.505, ""dcr_holdout"": 0.096, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.105239572267, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.107764759377}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.505, ""cosine_similarity_training_synthetic"": 0.9998407, ""discriminator_auc_training_synthetic"": 0.544}}",t
Kiruba-05,2025-06-20 05:45:24.866+00,2025-06-20 05:54:04.838362+00,flat,0.88881,0.504,1.04735,"{""accuracy"": {""overall"": 0.8888097, ""bivariate"": 0.8894432, ""coherence"": null, ""trivariate"": 0.8357715, ""univariate"": 0.9412144, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.244, ""dcr_trn_hol"": 0.215, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.243, ""ims_training"": 0.0, ""nndr_holdout"": 0.457466594239, ""nndr_trn_hol"": 0.314104013989, ""nndr_training"": 0.479128865237}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.8231916, ""discriminator_auc_training_synthetic"": 0.999}}",t
